type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
photo	post_page_124025261904	124025261904_10155191585606905	https://www.facebook.com/124025261904/posts/10155191585606905	"Meet Hajra Khan. She made history when she became the first Pakistani woman footballer to sign a contract to play internationally. Despite her obvious talent  she is confined by gender stereotypes and sexism towards #womeninsport. Let’s free players from these barriers so they can thrive! http://unwo.men/isal30ijsOO #PyeongChang2018"	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/27752478_10155191584351905_4741767343062877375_n.png?oh=dd35907a55b5d218a0c9ac0394581646&oe=5B0F0424	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/27752478_10155191584351905_4741767343062877375_n.png?oh=5886784361c1a6669f5c95ace3777e4b&oe=5B11EA29	https://www.facebook.com/unwomen/photos/a.10150211048801905.306630.124025261904/10155191584351905/?type=3	facebook.com	2018-02-16T01:00:00+0000	1518742800	"2018-02-16 02:00:00"	199	8	220	37	265	8	7	1	1	0	0	0	0	0	0	0	0
link	post_page_124025261904	124025261904_10155206307231905	https://www.facebook.com/124025261904/posts/10155206307231905	"Salma is a young woman in Tunisia who found a sustainable & innovative solution to make her city safe for all  especially from sexual harassment. Read her story to see how investing in young activists brings about positive change to society and gives us hope for a better tomorrow: http://unwo.men/Tn9F30ip2nX"	https://external.xx.fbcdn.net/safe_image.php?d=AQADn0Eib6BStp5n&w=130&h=130&url=http%3A%2F%2Fwww.unwomen.org%2F-%2Fmedia%2Fheadquarters%2Fimages%2Fsections%2Fnews%2Fstories%2F2018%2F2%2Fsalmabelhassine_tunisia_ecosocyouthforum_february2018__rb_8370_1_675x450.jpg%3Fla%3Den%26vs%3D956&cfs=1&sx=71&sy=0&sw=450&sh=450&_nc_hash=AQAYv-Jm04Wk3klD	https://external.xx.fbcdn.net/safe_image.php?d=AQD3DuTGyXqZBSoL&url=http%3A%2F%2Fwww.unwomen.org%2F-%2Fmedia%2Fheadquarters%2Fimages%2Fsections%2Fnews%2Fstories%2F2018%2F2%2Fsalmabelhassine_tunisia_ecosocyouthforum_february2018__rb_8370_1_675x450.jpg%3Fla%3Den%26vs%3D956&_nc_hash=AQC6drp8LaE4PfuL	http://unwo.men/Tn9F30ip2nX	unwo.men	2018-02-15T20:46:58+0000	1518727618	"2018-02-15 21:46:58"	484	9	515	99	623	9	9	0	3	0	0	0	0	0	0	0	0
status	post_page_124025261904	124025261904_10155204093866905	https://www.facebook.com/124025261904/posts/10155204093866905	"Farming is the only source of income for Khateeja Mallah  a 31-year-old widow from Pakistan  who has to feed 8 children. This is how her life changed when she gained access to land and a place to live: http://unwo.men/cWFC30ils34 #PromisesToAction #GlobalGoals"					2018-02-15T17:00:00+0000	1518714000	"2018-02-15 18:00:00"	62	1	62	5	68	1	1	0	0	0	0	0	0	0	0	0	0
photo	post_page_124025261904	124025261904_10155204088981905	https://www.facebook.com/124025261904/posts/10155204088981905	"We need to ensure that girls’ basic needs are met for their well-being and futures. http://unwo.men/qtgd30il4e0 #PromisesToAction #GlobalGoals"	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/28055705_10155204088526905_6091594226166918902_n.png?oh=40399fa4a393acb12846b48b7e3685c3&oe=5B055F10	https://scontent.xx.fbcdn.net/v/t31.0-8/p720x720/27797926_10155204088526905_6091594226166918902_o.png?oh=fd1d6d392b29eaa663022284b8a7fd85&oe=5B13B656	https://www.facebook.com/unwomen/photos/a.10150211048801905.306630.124025261904/10155204088526905/?type=3	facebook.com	2018-02-15T17:00:00+0000	1518714000	"2018-02-15 18:00:00"	230	9	334	148	491	6	6	0	1	0	0	0	0	0	0	0	0
link	post_page_124025261904	124025261904_10155204062486905	https://www.facebook.com/124025261904/posts/10155204062486905	"It’s been two and a half years since the adoption of the Sustainable Development Goals. In “Turning promises into action: Gender Equality in the 2030 Agenda ” we take a look at how the 17 #GlobalGoals impact the lives of women and girls: http://unwo.men/qtgd30il4e0 #PromisesToAction"	https://external.xx.fbcdn.net/safe_image.php?d=AQDOE97JnJLiXy2l&w=130&h=130&url=http%3A%2F%2Fwww.unwomen.org%2F-%2Fmedia%2Fheadquarters%2Fimages%2Fsections%2Fdigital%2520library%2F2018%2Fsdg-monitoring-report-turning-promises-into-action-cover-web-en.jpg%3Fmw%3D1200%26vs%3D3700&cfs=1&_nc_hash=AQCBdoTycQYdewHh	https://external.xx.fbcdn.net/safe_image.php?d=AQBZQdm2oTNqbt73&url=http%3A%2F%2Fwww.unwomen.org%2F-%2Fmedia%2Fheadquarters%2Fimages%2Fsections%2Fdigital%2520library%2F2018%2Fsdg-monitoring-report-turning-promises-into-action-cover-web-en.jpg%3Fmw%3D1200%26vs%3D3700&_nc_hash=AQBKz6iI9mRTAdji	http://unwo.men/qtgd30il4e0	unwo.men	2018-02-14T23:05:26+0000	1518649526	"2018-02-15 00:05:26"	115	1	120	53	174	1	1	0	0	0	0	0	0	0	0	0	0
video	post_page_124025261904	124025261904_10155203413556905	https://www.facebook.com/124025261904/posts/10155203413556905	"We re live at the launch of our flagship report  “Turning promises into action: Gender equality in the 2030 Agenda for Sustainable Development”. Follow along to learn what it will take to achieve the #GlobalGoals: http://unwo.men/dg7330ip0Ub #PromisesToAction"	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/27407172_10155203766081905_2175267946056646656_n.jpg?oh=38503afd3114d31bfb75f30bac0122cb&oe=5B14D05D	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/27407172_10155203766081905_2175267946056646656_n.jpg?oh=31e83a9f8bf5bd49b2f7e3de0d525348&oe=5B1DA7AF	https://www.facebook.com/unwomen/videos/10155203413556905/	facebook.com	2018-02-14T18:45:24+0000	1518633924	"2018-02-14 19:45:24"	202	59	252	88	399	57	56	1	57	0	0	0	0	0	0	0	0
video	post_page_124025261904	124025261904_10155202178481905	https://www.facebook.com/124025261904/posts/10155202178481905	"There can be no sustainable development without gender equality! It’s up to all of us to ensure the journey is successful. Learn more about our flagship report  “Turning promises into action: Gender Equality in the 2030 Agenda.” unwo.men/dg7330ip0Ub #PromisesToAction #GlobalGoals"	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/27408532_846204132225751_4049879935056084992_n.jpg?oh=ce267f418e56f80f398745fdbdfeb506&oe=5B4DEDFE	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/27408532_846204132225751_4049879935056084992_n.jpg?oh=693fd71cfe2401b4a7994cefa728e8da&oe=5B101444	https://www.facebook.com/unwomen/videos/10155202178481905/	facebook.com	2018-02-14T17:00:01+0000	1518627601	"2018-02-14 18:00:01"	217	9	248	197	454	8	8	0	3	0	0	0	0	0	0	0	0
photo	post_page_124025261904	124025261904_10155191580206905	https://www.facebook.com/124025261904/posts/10155191580206905	"Khalida Popal made history when she became the first captain of the women’s Afghan National Football team in 2007. But she was forced to leave her country after receiving death threats from those who believe women shouldn’t play sports. She shares her view in our #FromWhereIStand series: http://unwo.men/Bga230if8x3 #PyeongChang2018 #womeninsport"	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/27751650_10155191578256905_8423943158914972328_n.png?oh=4f2c27541e55c677060706c66772b91c&oe=5B243A3F	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/27751650_10155191578256905_8423943158914972328_n.png?oh=71118fa437a94e7f9f468c5b37ae83f4&oe=5B06D232	https://www.facebook.com/unwomen/photos/a.10150211048801905.306630.124025261904/10155191578256905/?type=3	facebook.com	2018-02-14T15:00:00+0000	1518620400	"2018-02-14 16:00:00"	121	1	128	15	144	1	1	0	0	0	0	0	0	0	0	0	0
photo	post_page_124025261904	124025261904_10155201984056905	https://www.facebook.com/124025261904/posts/10155201984056905	"This #ValentinesDay  let s show support and love to domestic violence survivors. Help prevent and end domestic violence by starting conversations with friends and family on the issue.  DYK ⬇: http://unwo.men/fv5R30inl09 #endDV"	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/28166391_10155201982521905_5784997333521095355_n.png?oh=bbd6cc7f710064a1579e86fbdfab1c37&oe=5B4DAA07	https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/28161986_10155201982521905_5784997333521095355_o.png?oh=3a7b94330c9dedb1025269c36d531b6e&oe=5B254A5D	https://www.facebook.com/unwomen/photos/a.10150211048801905.306630.124025261904/10155201982521905/?type=3	facebook.com	2018-02-14T09:00:00+0000	1518598800	"2018-02-14 10:00:00"	397	9	463	238	710	8	8	0	2	0	0	0	0	0	0	0	0
photo	post_page_124025261904	124025261904_10155198069521905	https://www.facebook.com/124025261904/posts/10155198069521905	"Finding #WomenInScience shouldn t be this hard."	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/27750188_1553157738065846_8078486821020427156_n.jpg?oh=bdd6805cc071a9f70250285b1d561761&oe=5B4E2283	https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/27788631_1553157738065846_8078486821020427156_o.jpg?oh=69b963e5c460b4783e4a4374b17139a6&oe=5B076BAF	https://www.facebook.com/unwomenegypt/photos/a.246946408686992.56170.245764998805133/1553157738065846/?type=3	facebook.com	2018-02-14T02:00:00+0000	1518573600	"2018-02-14 03:00:00"	67	3	73	8	84	3	3	0	0	0	0	0	0	0	0	0	0
